filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-2_STN810_I20190624_R20200109_BECU_IOP-CTD.csv;STN810;2_STN810;69.53572;-133.42375;2019-06-24 16:05;1;NA;TUKTOYAKTUK A;101.47;0.0427583454216496
Nunataryuk_WP4-2_STN820_I20190624_R20200109_BECU_IOP-CTD.csv;STN820;2_STN820;69.48537;-133.54258;2019-06-24 16:40;0;NA;TUKTOYAKTUK A;101.44;0.0409888682742778
Nunataryuk_WP4-2_STN830_I20190627_R20200109_BECU_IOP-CTD.csv;STN830;2_STN830;69.43216;-133.65676;2019-06-27 18:57;1;NA;TUKTOYAKTUK A;102;0.0740191083585611
Nunataryuk_WP4-2_STN840_I20190627_R20200109_BECU_IOP-CTD.csv;STN840;2_STN840;69.39762;-133.80963;2019-06-27 17:42;1;NA;TUKTOYAKTUK A;102.02;0.0751987597901422
Nunataryuk_WP4-2_STN850_I20190627_R20200109_BECU_IOP-CTD.csv;STN850;2_STN850;69.36778;-133.89382;2019-06-27 16:50;1;NA;TUKTOYAKTUK A;102.04;0.0763784112217243
Nunataryuk_WP4-2_STN860_I20190627_R20200109_BECU_IOP-CTD.csv;STN860;2_STN860;69.35382;-133.92697;2019-06-27 16:27;1;NA;TUKTOYAKTUK A;102.08;0.0787377140848866
Nunataryuk_WP4-2_STN870_I20190627_R20200109_BECU_IOP-CTD.csv;STN870;2_STN870;69.28391;-133.96839;2019-06-27 15:27;1;NA;TUKTOYAKTUK A;102.1;0.0799173655164678
Nunataryuk_WP4-2_STN999_I20190628_R20200109_BECU_IOP-CTD.csv;STN999;2_STN999;69.44687;-133.03141;2019-06-28 15:37;1;NA;TUKTOYAKTUK A;102.03;0.0757885855059328
Nunataryuk_WP4-3_STN010_I20190802_R20200109_BECU_IOP-CTD.csv;STN010;3_STN010;69.45458;-133.14795;2019-08-02 19:37;1;NA;TUKTOYAKTUK A;101.34;0.0350906111163694
Nunataryuk_WP4-3_STN020_I20190802_R20200109_BECU_IOP-CTD.csv;STN020;3_STN020;69.41669;-133.51731;2019-08-02 14:05;1;NA;TUKTOYAKTUK A;101.38;0.0374499139795317
Nunataryuk_WP4-3_STN030_I20190802_R20200109_BECU_IOP-CTD.csv;STN030;3_STN030;69.39848;-133.64349;2019-08-02 13:10;1;NA;TUKTOYAKTUK A;101.34;0.0350906111163694
Nunataryuk_WP4-3_STN040_I20190802_R20200109_BECU_IOP-CTD.csv;STN040;3_STN040;69.36262;-133.73505;2019-08-02 12:46;1;NA;TUKTOYAKTUK A;101.34;0.0350906111163694
Nunataryuk_WP4-3_STN1030_I20190802_R20200109_BECU_IOP-CTD.csv;STN1030;3_STN1030;69.64782;-133.21743;2019-08-02 16:42;1;NA;TUKTOYAKTUK A;101.36;0.0362702625479505
Nunataryuk_WP4-3_STN1040_I20190802_R20200109_BECU_IOP-CTD.csv;STN1040;3_STN1040;69.61379;-133.33399;2019-08-02 17:17;1;NA;TUKTOYAKTUK A;101.36;0.0362702625479505
Nunataryuk_WP4-3_STN1050_I20190802_R20200109_BECU_IOP-CTD.csv;STN1050;3_STN1050;69.57649;-133.36045;2019-08-02 17:59;1;NA;TUKTOYAKTUK A;101.38;0.0374499139795317
Nunataryuk_WP4-3_STN1060_I20190802_R20200109_BECU_IOP-CTD.csv;STN1060;3_STN1060;69.47456;-133.43083;2019-08-02 19:09;1;NA;TUKTOYAKTUK A;101.35;0.0356804368321599
Nunataryuk_WP4-3_STN125_I20190728_R20200109_BECU_IOP-CTD.csv;STN125;3_STN125;69.12919;-137.80598;2019-07-28 09:17;1;NA;SHINGLE POINT A;100.3;-0.0262512633258716
Nunataryuk_WP4-3_STN130_I20190728_R20200109_BECU_IOP-CTD.csv;STN130;3_STN130;69.07138;-137.46127;2019-07-28 07:56;1;NA;SHINGLE POINT A;100.31;-0.025661437610081
Nunataryuk_WP4-3_STN135_I20190728_R20200109_BECU_IOP-CTD.csv;STN135;3_STN135;69.03968;-137.38966;2019-07-28 10:49;1;NA;SHINGLE POINT A;100.34;-0.0238919604627084
Nunataryuk_WP4-3_STN140alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN140alt;3_STN140alt;69.01895;-137.32937;2019-07-26 18:59;1;NA;SHINGLE POINT A;100.23;-0.0303800433364074
Nunataryuk_WP4-3_STN150alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN150alt;3_STN150alt;68.9879;-137.04242;2019-07-26 18:15;1;NA;SHINGLE POINT A;100.23;-0.0303800433364074
Nunataryuk_WP4-3_STN330_I20190728_R20200109_BECU_IOP-CTD.csv;STN330;3_STN330;69.2044;-137.01046;2019-07-28 07:04;1;NA;SHINGLE POINT A;100.32;-0.0250716118942904
