"Profile_ID";"filename";"station_name";"lat_dec_deg";"lon_dec_deg";"date_heure_UTC";"date_heure_MDT";"flag_qc";"EC_Press_dbar_val";"tare_depth";"comment";"closest_EC_sector"
69;"Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d03.csv";"st860";69.35339;-133.92841;"2019-04-25 18:46:00";"2019-04-25 12:46:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
70;"Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d01.csv";"st870";69.28915;-133.96901;"2019-04-25 17:00:00";"2019-04-25 11:00:00";1;102.87;0.125333945632358;NA;"TUKTOYAKTUK A"
71;"Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d02.csv";"st870";69.28915;-133.96901;"2019-04-25 17:00:00";"2019-04-25 11:00:00";1;102.87;0.125333945632358;NA;"TUKTOYAKTUK A"
72;"Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d03.csv";"st870";69.28915;-133.96901;"2019-04-25 17:00:00";"2019-04-25 11:00:00";1;102.87;0.125333945632358;NA;"TUKTOYAKTUK A"
73;"Nunataryuk_WP4-2_st030_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st030";69.3957;-133.64116;"2019-06-27 18:36:00";"2019-06-27 12:36:00";1;102;0.0740191083585611;NA;"TUKTOYAKTUK A"
74;"Nunataryuk_WP4-2_st030_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st030";69.3957;-133.64116;"2019-06-27 18:36:00";"2019-06-27 12:36:00";0;102;0.0740191083585611;NA;"TUKTOYAKTUK A"
75;"Nunataryuk_WP4-2_st040_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st040";69.36122;-133.73704;"2019-06-27 18:11:00";"2019-06-27 12:11:00";1;102.02;0.0751987597901422;NA;"TUKTOYAKTUK A"
76;"Nunataryuk_WP4-2_st040_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st040";69.36122;-133.73704;"2019-06-27 18:11:00";"2019-06-27 12:11:00";0;102.02;0.0751987597901422;NA;"TUKTOYAKTUK A"
77;"Nunataryuk_WP4-2_st110_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st110";69.31076;-138.13516;"2019-06-19 19:50:00";"2019-06-19 13:50:00";1;101.46;0.042168519705859;NA;"SHINGLE POINT A"
78;"Nunataryuk_WP4-2_st120_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st120";69.18151;-137.80621;"2019-06-19 20:16:00";"2019-06-19 14:16:00";1;101.46;0.042168519705859;NA;"SHINGLE POINT A"
