filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;EC_Press_dbar_val;tare_depth;comment;closest_EC_sector;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-3_st380_I20190726_R20200109_BECU_IOP-CTD.csv;STN380;3_STN380;68.83397;-135.82174;2019-07-26 15:36;1;100.22;-0.030969869052198;NA;SHINGLE POINT A;15.5;16.5;0.00;0.25;1
Nunataryuk_WP4-3_st740_I20190802_R20200109_BECU_IOP-CTD.csv;STN740;3_STN740;69.4026;-133.85019;2019-08-02 11:37;1;101.31;0.0333211339689967;NA;TUKTOYAKTUK A;17.0;18.0;0.00;0.25;1
Nunataryuk_WP4-3_st800_I20190802_R20200109_BECU_IOP-CTD.csv;STN800;3_STN800;69.59645;-133.44236;2019-08-02 17:39;1;101.38;0.0374499139795317;NA;TUKTOYAKTUK A;7.5;10.0;26.5;28.5;1
Nunataryuk_WP4-3_st810_I20190802_R20200109_BECU_IOP-CTD.csv;STN810;3_STN810;69.53528;-133.41529;2019-08-02 18:21;1;101.38;0.0374499139795317;NA;TUKTOYAKTUK A;8.5;11.0;23.0;26.0;1
Nunataryuk_WP4-3_st820_I20190802_R20200109_BECU_IOP-CTD.csv;STN820;3_STN820;69.48587;-133.54485;2019-08-02 18:48;1;101.35;0.0356804368321599;NA;TUKTOYAKTUK A;11.0;12.0;17.0;19.0;1
Nunataryuk_WP4-3_st830_I20190802_R20200109_BECU_IOP-CTD.csv;STN830;3_STN830;69.43292;-133.65812;2019-08-02 13:30;1;101.38;0.0374499139795317;NA;TUKTOYAKTUK A;15.0;17.0;0.00;0.20;1
Nunataryuk_WP4-3_st840_I20190802_R20200109_BECU_IOP-CTD.csv;STN840;3_STN840;69.39808;-133.80914;2019-08-02 12:02;1;101.31;0.0333211339689967;NA;TUKTOYAKTUK A;16.0;17.0;0.10;0.20;1
Nunataryuk_WP4-3_st850_I20190802_R20200109_BECU_IOP-CTD.csv;STN850;3_STN850;69.36752;-133.89292;2019-08-02 11:07;1;101.27;0.0309618311058335;NA;TUKTOYAKTUK A;16.5;17.5;0.10;0.20;1
Nunataryuk_WP4-3_st860_I20190802_R20200109_BECU_IOP-CTD.csv;STN860;3_STN860;69.35354;-133.92641;2019-08-02 10:42;1;101.27;0.0309618311058335;NA;TUKTOYAKTUK A;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_st870_I20190802_R20200109_BECU_IOP-CTD.csv;STN870;3_STN870;69.28448;-133.96856;2019-08-02 09:52;1;101.21;0.0274228768110891;NA;TUKTOYAKTUK A;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_stR01_I20190729_R20200109_BECU_IOP-CTD.csv;STNR01;3_STNR01;68.75653;-135.87326;2019-07-30 01:02;1;100.70;-0.00265823469424031;NA;SHINGLE POINT A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR02_I20190729_R20200109_BECU_IOP-CTD.csv;STNR02;3_STNR02;68.60859;-135.74576;2019-07-30 01:39;1;101.19;0.0262432253795071;NA;AKLAVIK A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR03_I20190729_R20200109_BECU_IOP-CTD.csv;STNR03;3_STNR03;68.39022;-135.42656;2019-07-30 02:43;1;101.18;0.0256533996637165;NA;AKLAVIK A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR04_I20190729_R20200109_BECU_IOP-CTD.csv;STNR04;3_STNR04;68.26666;-135.10016;2019-07-30 03:26;1;101.18;0.0256533996637165;NA;AKLAVIK A;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR05_I20190729_R20200109_BECU_IOP-CTD.csv;STNR05;3_STNR05;68.26783;-134.83615;2019-07-29 16:29;1;101.20;0.0268330510952985;NA;AKLAVIK A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR06_I20190729_R20200109_BECU_IOP-CTD.csv;STNR06;3_STNR06;68.31478;-134.70374;2019-07-29 16:56;1;101.21;0.0274228768110891;NA;AKLAVIK A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR07_I20190729_R20200109_BECU_IOP-CTD.csv;STNR07;3_STNR07;68.34981;-134.66971;2019-07-29 17:19;1;101.21;0.0274228768110891;NA;AKLAVIK A;18.0;19.0;0.10;0.20;1
Nunataryuk_WP4-3_stR08_I20190729_R20200109_BECU_IOP-CTD.csv;STNR08;3_STNR08;68.44618;-134.49945;2019-07-29 17:44;1;101.25;0.0297821796742523;NA;AKLAVIK A;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR09_I20190729_R20200109_BECU_IOP-CTD.csv;STNR09;3_STNR09;68.47059;-134.09022;2019-07-29 18:25;1;100.02;-0.0427663833680141;NA;INUVIK CLIMATE;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR10_I20190729_R20200109_BECU_IOP-CTD.csv;STNR10;3_STNR10;68.5004;-134.00767;2019-07-29 19:05;1;100.03;-0.0421765576522226;NA;INUVIK CLIMATE;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR11_I20190729_R20200109_BECU_IOP-CTD.csv;STNR11;3_STNR11;68.48715;-133.9246;2019-07-29 19:26;1;100.03;-0.0421765576522226;NA;INUVIK CLIMATE;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_stR12_I20190729_R20200109_BECU_IOP-CTD.csv;STNR12;3_STNR12;68.42444;-133.82076;2019-07-29 19:46;1;100.03;-0.0421765576522226;NA;INUVIK CLIMATE;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-4_st010_I20190906_R20200109_BECU_IOP-CTD.csv;STN010;4_STN010;69.45651;-133.147;2019-09-06 18:11;1;102.03;0.0757885855059328;NA;TUKTOYAKTUK A;5.5;10.0;-0.05;22.0;1
Nunataryuk_WP4-4_st020_I20190906_R20200109_BECU_IOP-CTD.csv;STN020;4_STN020;69.41588;-133.52;2019-09-06 17:34;1;102.03;0.0757885855059328;NA;TUKTOYAKTUK A;10.0;10.5;0.10;0.25;1
Nunataryuk_WP4-4_st030_I20190906_R20200109_BECU_IOP-CTD.csv;STN030;4_STN030;69.39579;-133.641;2019-09-06 17:10;1;102.04;0.0763784112217243;NA;TUKTOYAKTUK A;10.0;11.0;0.10;0.25;1
Nunataryuk_WP4-4_st040_I20190906_R20200109_BECU_IOP-CTD.csv;STN040;4_STN040;69.36171;-133.74;2019-09-06 16:49;1;102.04;0.0763784112217243;NA;TUKTOYAKTUK A;10.0;10.5;0.10;0.25;1
Nunataryuk_WP4-4_st1030_I20190905_R20200109_BECU_IOP-CTD.csv;STN1030;4_STN1030;69.6484;-133.221;2019-09-05 16:23;1;101.77;0.0604531168953724;NA;TUKTOYAKTUK A;4.75;06.25;15.0;25.0;1
Nunataryuk_WP4-4_st1040_I20190905_R20200109_BECU_IOP-CTD.csv;STN1040;4_STN1040;69.61528;-133.334;2019-09-05 17:40;1;101.85;0.0651717226216988;NA;TUKTOYAKTUK A;05.0;07.0;03.5;25.0;1
Nunataryuk_WP4-4_st1050_I20190905_R20200109_BECU_IOP-CTD.csv;STN1050;4_STN1050;69.57647;-133.359;2019-09-05 18:41;1;101.90;0.0681208512006535;NA;TUKTOYAKTUK A;05.0;07.5;02.0;25.0;1
Nunataryuk_WP4-4_st120_I20190829_R20200109_BECU_IOP-CTD.csv;STN120;4_STN120;69.181;-137.8048;2019-08-29 19:21;1;101.68;0.0551446854532554;NA;SHINGLE POINT A;04.0;08.0;08.0;29.0;1
Nunataryuk_WP4-4_st125_I20190829_R20200109_BECU_IOP-CTD.csv;STN125;4_STN125;69.12931;-137.8043;2019-08-29 20:03;1;101.67;0.0545548597374648;NA;SHINGLE POINT A;03.5;08.0;04.0;29.0;1
Nunataryuk_WP4-4_st130_I20190829_R20200109_BECU_IOP-CTD.csv;STN130;4_STN130;69.06973;-137.44983;2019-08-29 20:59;1;101.66;0.0539650340216742;NA;SHINGLE POINT A;04.0;08.0;00.0;29.0;1
Nunataryuk_WP4-4_st135_I20190829_R20200109_BECU_IOP-CTD.csv;STN135;4_STN135;69.03886;-137.39052;2019-08-29 21:27;1;101.66;0.0539650340216742;NA;SHINGLE POINT A;04.0;08.0;0.00;28.0;1
