filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-2_st1050_I20190627_R20200109_BECU_IOP-CTD-u01.csv;9;loess;0.06;7.0;11.0;13.0;20.0;0
Nunataryuk_WP4-2_st1060_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.13;10.0;12.0;0.20;0.30;1
Nunataryuk_WP4-2_st1060_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;10.0;12.0;0.20;0.30;0
Nunataryuk_WP4-2_st310_I20190619_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.02;-1.5;10.0;-0.05;35.0;1
Nunataryuk_WP4-2_st320_I20190619_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.02;-2.0;12;-0.05;35.0;1
Nunataryuk_WP4-2_st330_I20190619_R20200109_BECU_IOP-CTD-d01.csv;7;loess;0.04;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st340-alt_I20190621_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;0.0;15.0;0.00;20.0;1
Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.20;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d02.csv;3;loess;0.07;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d03.csv;3;loess;0.07;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st360_I20190618_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st360_I20190618_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.07;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st370_I20190618_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st380-alt_I20190618_R20200109_BECU_IOP-CTD-d03.csv;3;loess;0.20;10.0;12;-0.05;0.20;1
Nunataryuk_WP4-2_st380-alt_I20190618_R20200109_BECU_IOP-CTD-d04.csv;3;loess;0.20;10.0;12;-0.05;0.20;1
Nunataryuk_WP4-2_st420_I20190621_R20200109_BECU_IOP-CTD-d01.csv;15;loess;0.015;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st430_I20190621_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.02;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st450_I20190618_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.08;10.0;12;-0.05;0.20;1
Nunataryuk_WP4-2_st530_I20190621_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.04;2.0;15.0;0.00;25.0;1
Nunataryuk_WP4-2_st540-alt_I20190621_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.15;5.0;15.0;0.00;20.0;1
Nunataryuk_WP4-2_st550_I20190621_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;12.0;14.0;-0.05;0.50;1
Nunataryuk_WP4-2_st565_I20190621_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;12.0;14.0;0.05;0.15;1
Nunataryuk_WP4-2_st620_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;10.0;13.0;0.00;0.60;1
Nunataryuk_WP4-2_st620_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;10.0;13.0;0.00;0.60;0
Nunataryuk_WP4-2_st630_I20190627_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;11.0;13.0;0.10;0.20;1
Nunataryuk_WP4-2_st630_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;11.0;13.0;0.10;0.20;0
Nunataryuk_WP4-2_st740_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.20;11.0;13.0;0.00;0.20;1
Nunataryuk_WP4-2_st740_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.20;11.0;13.0;0.00;0.20;0
